ad_id,clicks,impressions,cost,leads,conversions,conversion_rate,sale_amount,ad_date,device,keyword
A1360,109,4011,184.51,13,6,0.055,1375.00,2024-11-23,Desktop,Data Analytics Online
A1361,128,4636,243.83,20,10,0.078,1941.00,2024-02-11,Mobile,Data Analytics Training
A1363,89,5872,198.32,14,6,0.067,1553.00,2024-11-20,Mobile,Data Analytics Online
A1364,157,5762,248.10,26,4,0.025,1999.00,2024-11-05,Tablet,Data Analytics Online
A1365,88,3396,193.79,19,5,0.057,1860.00,2024-11-18,Mobile,Data Analytics Online
A1366,130,3092,211.39,28,7,0.054,1031.00,2024-11-24,Tablet,Data Analytics Course
A1367,194,4240,213.45,18,4,0.021,1890.00,2024-11-23,Tablet,Data Analytics Online
A1368,180,4297,200.04,24,5,0.028,1050.00,2024-11-18,Mobile,Data Analytics Course
A1372,118,4845,190.25,11,3,0.025,1446.00,2024-11-18,Desktop,Analytics For Data
A1373,101,4883,237.89,11,6,0.059,1368.00,2024-11-14,Desktop,Analytics For Data
A1374,120,4618,200.91,18,7,0.058,1775.00,2024-11-02,Tablet,Data Analytics Online
A1375,194,3941,240.35,27,10,0.052,1373.00,2024-11-11,Desktop,Data Analytics Course
A1376,135,5096,230.32,14,4,0.030,1478.00,2024-11-18,Mobile,Data Analytics Training
A1377,190,5537,188.98,20,4,0.021,1989.00,2024-11-04,Tablet,Learn Data Analytics
A1378,198,4208,180.06,19,8,0.040,1462.00,2024-11-08,Mobile,Data Analytics Training
A1379,87,5358,236.57,19,5,0.057,1141.00,2024-11-02,Tablet,Learn Data Analytics
A1380,106,5583,218.81,13,3,0.028,1049.00,2024-11-15,Desktop,Data Analytics Course
A1381,169,3069,227.70,12,5,0.030,1063.00,2024-11-28,Mobile,Data Analytics Course
A1382,195,3738,202.08,18,7,0.036,1647.00,2024-11-16,Tablet,Data Analytics Online
A1383,161,4852,235.10,10,8,0.050,1738.00,2024-11-24,Desktop,Data Analytics Online
A1384,195,5120,249.60,26,3,0.015,1571.00,2024-11-04,Mobile,Data Analytics Training
A1385,111,3550,231.81,10,9,0.081,1462.00,2024-11-26,Mobile,Data Analytics Training
A1386,124,5618,205.95,25,7,0.056,1374.00,2024-11-19,Mobile,Data Analytics Course
A1387,89,4700,219.95,28,6,0.067,1493.00,2024-11-19,Mobile,Data Analytics Course
A1388,122,5874,201.04,10,7,0.057,1352.00,2024-11-30,Desktop,Data Analytics Course
A1389,177,5965,199.70,28,3,0.017,1090.00,2024-11-13,Mobile,Data Analytics Online
A1390,163,5774,221.61,29,9,0.055,1396.00,2024-11-08,Desktop,Learn Data Analytics
A1391,124,4079,189.07,18,3,0.024,1430.00,2024-11-23,Desktop,Data Analytics Course
A1392,105,3670,218.45,25,6,0.057,1650.00,2024-11-22,Desktop,Data Analytics Online
A1395,96,3761,196.45,10,5,0.052,1518.00,2024-11-30,Tablet,Data Analytics Online
A1396,135,4505,214.64,17,9,0.067,1500.00,2024-06-11,Mobile,Data Analytics Online
A1400,86,3555,225.23,11,6,0.070,1193.00,2024-11-11,Desktop,Data Analytics Training
A1401,89,3760,218.69,21,9,0.101,1474.00,2024-11-25,Desktop,Learn Data Analytics
A1402,118,3596,236.66,29,9,0.076,1154.00,2024-11-23,Tablet,Data Analytics Course
A1404,95,5386,184.96,23,8,0.084,1045.00,2024-11-20,Desktop,Data Analytics Online
A1405,144,5381,199.43,10,10,0.069,1085.00,2024-11-09,Desktop,Data Analytics Training
A1406,107,5536,238.75,15,3,0.028,1822.00,2024-11-17,Mobile,Analytics For Data
A1407,146,3165,211.09,16,7,0.048,1706.00,2024-11-08,Mobile,Learn Data Analytics
A1408,114,5217,247.94,11,10,0.088,1876.00,2024-11-18,Desktop,Data Analytics Online
A1409,162,4301,223.77,21,7,0.043,1066.00,2024-11-20,Mobile,Learn Data Analytics
A1410,95,5971,214.57,29,10,0.105,1539.00,2024-11-16,Mobile,Analytics For Data
A1411,163,5160,184.84,19,4,0.025,1773.00,2024-11-23,Desktop,Data Analytics Course
A1412,148,5947,212.38,12,4,0.027,1294.00,2024-11-24,Mobile,Data Analytics Online
A1413,156,4150,223.17,20,10,0.064,1940.00,2024-11-14,Tablet,Learn Data Analytics
A1415,124,5956,201.44,12,9,0.073,1598.00,2024-11-24,Tablet,Data Analytics Online
A1417,140,3822,241.68,30,10,0.071,1138.00,2024-11-19,Tablet,Data Analytics Course
A1418,81,3147,232.20,30,9,0.111,1066.00,2024-11-29,Mobile,Data Analytics Course
A1419,165,4613,246.72,19,3,0.018,1055.00,2024-11-11,Tablet,Data Analytics Training
A1420,193,4919,247.24,19,4,0.021,1933.00,2024-11-25,Desktop,Data Analytics Online
A1421,149,5205,218.42,20,4,0.027,1070.00,2024-11-28,Mobile,Data Analytics Online
A1422,81,3497,226.66,11,6,0.074,1047.00,2024-11-19,Mobile,Data Analytics Online
A1423,153,4057,197.54,23,5,0.033,1926.00,2024-11-22,Tablet,Data Analytics Online
A1424,127,5018,194.25,17,8,0.063,1350.00,2024-11-21,Mobile,Data Analytics Online
A1425,99,4012,220.76,14,4,0.040,1698.00,2024-11-12,Tablet,Data Analytics Training
A1426,104,3013,204.07,12,3,0.029,1016.00,2024-11-20,Mobile,Learn Data Analytics
A1427,118,3824,184.80,16,5,0.042,1818.00,2024-11-19,Desktop,Learn Data Analytics
A1428,148,5000,224.41,11,3,0.020,1491.00,2024-11-30,Mobile,Data Analytics Online
A1429,88,3804,249.20,10,8,0.091,1044.00,2024-11-09,Tablet,Data Analytics Training
A1430,142,3791,207.86,23,4,0.028,1073.00,2024-11-20,Tablet,Data Analytics Online
A1431,127,5198,242.56,26,6,0.047,1872.00,2024-11-16,Tablet,Learn Data Analytics
A1432,117,5329,212.49,14,5,0.043,1888.00,2024-11-03,Mobile,Data Analytics Course
A1433,125,5435,202.65,25,5,0.040,1767.00,2024-11-23,Desktop,Data Analytics Online
A1434,92,4977,209.78,26,3,0.033,1834.00,2024-11-12,Tablet,Learn Data Analytics
A1435,112,3850,233.52,14,8,0.071,1760.00,2024-11-22,Desktop,Data Analytics Course
A1436,144,5976,197.65,13,9,0.063,1743.00,2024-11-22,Mobile,Data Analytics Course
A1437,103,4693,218.67,14,10,0.097,1390.00,2024-11-09,Mobile,Learn Data Analytics
A1438,117,4367,233.27,24,3,0.026,1238.00,2024-11-24,Tablet,Learn Data Analytics
A1439,100,5481,180.72,14,7,0.070,1185.00,2024-11-02,Desktop,Analytics For Data
A1440,179,4109,191.84,19,4,0.022,1961.00,2024-02-11,Tablet,Data Analytics Online
A1441,180,3887,186.26,18,6,0.033,1048.00,2024-05-11,Desktop,Data Analytics Course
A1442,146,4633,186.07,26,3,0.021,1053.00,2024-11-25,Desktop,Data Analytics Training
A1443,124,5353,239.69,13,4,0.032,1493.00,2024-11-19,Desktop,Learn Data Analytics
A1444,169,5380,199.66,27,6,0.036,1059.00,2024-11-03,Desktop,Data Analytics Training
A1445,91,5104,211.85,29,9,0.099,1309.00,2024-11-16,Tablet,Data Analytics Course
A1447,115,4345,229.71,15,4,0.035,1467.00,2024-11-26,Mobile,Data Analytics Course
A1448,123,3527,239.31,21,3,0.024,1536.00,2024-04-11,Tablet,Analytics For Data
A1449,101,3330,209.80,19,10,0.099,1296.00,2024-11-14,Mobile,Data Analytics Training
A1450,141,3913,245.32,21,3,0.021,1904.00,2024-11-15,Desktop,Analytics For Data
A1452,105,3008,206.91,21,4,0.038,1009.00,2024-11-10,Desktop,Data Analytics Online
A1453,178,5318,207.05,18,4,0.022,1421.00,2024-11-20,Desktop,Data Analytics Online
A1454,189,5244,242.18,29,3,0.016,1080.00,2024-11-07,Mobile,Analytics For Data
A1455,114,4804,249.33,14,6,0.053,1879.00,2024-05-11,Mobile,Data Analytics Course
A1456,160,5920,201.30,30,7,0.044,1080.00,2024-11-18,Tablet,Data Analytics Course
A1457,101,5280,234.72,18,9,0.089,1046.00,2024-11-27,Tablet,Data Analytics Course
A1458,146,3887,206.59,26,9,0.062,1042.00,2024-07-11,Desktop,Data Analytics Online
A1460,163,4125,246.09,27,5,0.031,1910.00,2024-11-27,Mobile,Learn Data Analytics
A1461,193,5571,213.50,19,8,0.041,1754.00,2024-11-28,Mobile,Analytics For Data
A1462,179,4309,237.62,21,7,0.039,1719.00,2024-11-14,Mobile,Data Analytics Course
A1463,86,5538,223.13,22,7,0.081,1544.00,2024-11-30,Tablet,Data Analytics Training
A1464,92,3162,202.76,25,5,0.054,1577.00,2024-01-11,Mobile,Data Analytics Training
A1466,147,3112,206.74,12,8,0.054,1815.00,2024-11-18,Mobile,Data Analytics Course
A1469,164,3872,210.53,12,5,0.030,1532.00,2024-11-12,Tablet,Data Analytics Online
A1470,199,4255,212.84,14,6,0.030,1125.00,2024-11-22,Desktop,Learn Data Analytics
A1472,150,5619,191.89,23,6,0.040,1735.00,2024-11-19,Desktop,Data Analytics Training
A1473,171,5157,183.26,24,9,0.053,1430.00,2024-09-11,Desktop,Data Analytics Online
A1474,139,4871,211.40,25,9,0.065,1247.00,2024-11-29,Mobile,Data Analytics Training
A1475,117,5863,224.69,24,10,0.085,1580.00,2024-11-16,Mobile,Data Analytics Online
A1476,196,3205,188.82,24,8,0.041,1837.00,2024-11-24,Desktop,Data Analytics Course
A1477,184,5463,224.58,30,6,0.033,1565.00,2024-11-26,Tablet,Data Analytics Training
A1478,103,5667,232.48,26,8,0.078,1888.00,2024-11-16,Tablet,Learn Data Analytics
A1479,120,4666,180.72,30,3,0.025,1627.00,2024-11-24,Mobile,Analytics For Data
A1480,148,3632,214.46,28,10,0.068,1589.00,2024-11-18,Mobile,Data Analytics Training
A1481,80,3834,181.22,15,3,0.038,1270.00,2024-11-22,Tablet,Learn Data Analytics
A1482,168,3934,246.09,24,6,0.036,1592.00,2024-11-24,Tablet,Data Analytics Online
A1483,136,5724,218.37,25,10,0.074,1268.00,2024-11-18,Desktop,Data Analytics Course
A1484,86,4763,243.78,11,8,0.093,1770.00,2024-11-13,Mobile,Learn Data Analytics
A1485,175,3095,236.86,22,4,0.023,1617.00,2024-11-20,Mobile,Analytics For Data
A1486,173,5554,185.09,22,4,0.023,1000.00,2024-11-01,Desktop,Data Analytics Course
A1487,192,3407,223.29,29,9,0.047,1538.00,2024-11-25,Tablet,Data Analytics Training
A1488,190,4465,241.38,28,5,0.026,1910.00,2024-11-04,Desktop,Analytics For Data
A1489,161,3311,221.64,16,5,0.031,1006.00,2024-02-11,Tablet,Data Analytics Online
A1490,197,3265,200.40,15,3,0.015,1882.00,2024-01-11,Mobile,Learn Data Analytics
A1491,80,4969,210.70,25,3,0.038,1146.00,2024-11-05,Tablet,Analytics For Data
A1492,145,5368,200.88,14,4,0.028,1125.00,2024-11-27,Tablet,Learn Data Analytics
A1493,90,5851,232.94,22,8,0.089,1421.00,2024-11-28,Desktop,Learn Data Analytics
A1494,109,4884,228.13,11,8,0.073,1680.00,2024-11-15,Desktop,Data Analytics Training
A1496,179,5828,247.84,15,4,0.022,1127.00,2024-11-14,Mobile,Analytics For Data
A1497,181,4935,239.29,15,5,0.028,1497.00,2024-09-11,Desktop,Data Analytics Training
A1498,188,4491,201.73,24,7,0.037,1906.00,2024-11-21,Mobile,Data Analytics Online
A1499,139,3659,189.09,16,4,0.029,1892.00,2024-11-29,Desktop,Data Analytics Training
A1501,95,5844,211.95,10,9,0.095,1444.00,2024-11-08,Tablet,Learn Data Analytics
A1503,190,4630,217.60,27,4,0.021,1900.00,2024-11-23,Tablet,Data Analytics Training
A1504,123,3340,225.16,23,8,0.065,1563.00,2024-11-26,Mobile,Data Analytics Online
A1505,97,3330,182.98,15,3,0.031,1102.00,2024-11-14,Tablet,Data Analytics Online
A1506,164,3117,198.53,25,5,0.030,1749.00,2024-11-29,Mobile,Analytics For Data
A1507,134,3562,247.59,24,10,0.075,1295.00,2024-01-11,Tablet,Analytics For Data
A1508,117,5144,221.76,23,3,0.026,1338.00,2024-11-11,Mobile,Analytics For Data
A1510,173,3328,224.17,15,10,0.058,1904.00,2024-11-28,Mobile,Data Analytics Online
A1511,158,4336,238.29,26,9,0.057,1245.00,2024-11-30,Tablet,Data Analytics Online
A1514,83,3926,237.07,22,5,0.060,1667.00,2024-11-07,Mobile,Analytics For Data
A1515,85,5570,221.73,14,7,0.082,1292.00,2024-11-29,Tablet,Data Analytics Online
A1516,98,5571,208.40,15,7,0.071,1890.00,2024-11-14,Desktop,Analytics For Data
A1517,151,5700,182.27,13,3,0.020,1255.00,2024-11-23,Mobile,Data Analytics Course
A1519,84,4646,226.32,11,7,0.083,1596.00,2024-11-30,Tablet,Analytics For Data
A1521,148,4725,187.02,25,3,0.020,1586.00,2024-11-15,Mobile,Learn Data Analytics
A1522,85,4230,233.73,18,8,0.094,1998.00,2024-11-08,Tablet,Data Analytics Course
A1523,105,3880,246.63,19,8,0.076,1598.00,2024-11-13,Mobile,Data Analytics Training
A1524,187,3842,214.35,28,5,0.027,1596.00,2024-11-13,Mobile,Data Analytics Online
A1525,153,3143,244.73,12,10,0.065,1365.00,2024-11-15,Mobile,Data Analytics Online
A1526,143,5781,208.63,21,9,0.063,1443.00,2024-11-26,Mobile,Data Analytics Online
A1527,183,3790,202.48,21,8,0.044,1215.00,2024-11-26,Desktop,Data Analytics Training
A1528,172,4250,235.20,28,7,0.041,1036.00,2024-06-11,Mobile,Learn Data Analytics
A1529,98,3800,240.45,16,3,0.031,1700.00,2024-11-01,Desktop,Data Analytics Course
A1530,87,4675,200.71,28,6,0.069,1428.00,2024-11-20,Mobile,Analytics For Data
A1531,84,5711,216.02,13,6,0.071,1654.00,2024-11-17,Desktop,Data Analytics Training
A1532,151,3022,191.35,13,4,0.026,1133.00,2024-11-18,Mobile,Learn Data Analytics
A1533,113,5407,203.23,15,9,0.080,1745.00,2024-11-16,Desktop,Data Analytics Training
A1534,89,5095,202.21,22,4,0.045,1065.00,2024-11-07,Tablet,Data Analytics Course
A1535,174,3587,217.67,10,7,0.040,1226.00,2024-11-22,Mobile,Data Analytics Training
A1536,166,5524,205.53,25,7,0.042,1241.00,2024-11-24,Mobile,Analytics For Data
A1538,97,3480,233.32,22,3,0.031,1008.00,2024-11-28,Desktop,Data Analytics Online
A1539,89,4200,200.98,23,8,0.090,1476.00,2024-11-23,Mobile,Data Analytics Course
A1540,130,5384,218.60,24,8,0.062,1943.00,2024-11-28,Mobile,Learn Data Analytics
A1541,103,4766,245.34,11,8,0.078,1488.00,2024-11-08,Desktop,Analytics For Data
A1543,127,4625,207.62,17,3,0.024,1811.00,2024-11-17,Desktop,Learn Data Analytics
A1544,170,4689,195.98,26,6,0.035,1873.00,2024-11-14,Desktop,Data Analytics Online
A1545,115,3764,197.47,20,5,0.043,1952.00,2024-11-27,Desktop,Learn Data Analytics
A1546,132,3365,198.01,17,9,0.068,1161.00,2024-11-14,Desktop,Analytics For Data
A1547,168,3392,230.77,15,9,0.054,1504.00,2024-11-11,Mobile,Data Analytics Online
A1548,145,5978,223.30,30,10,0.069,1859.00,2024-11-20,Mobile,Data Analytics Online
A1549,163,3340,217.35,26,7,0.043,1751.00,2024-11-24,Tablet,Data Analytics Training
A1550,84,4407,192.52,19,10,0.119,1221.00,2024-11-03,Tablet,Learn Data Analytics
A1551,124,3180,180.80,17,6,0.048,1822.00,2024-11-11,Mobile,Data Analytics Online
A1552,162,4947,233.76,23,6,0.037,1973.00,2024-11-15,Tablet,Data Analytics Course
A1553,119,4480,184.25,20,3,0.025,1985.00,2024-11-22,Mobile,Data Analytics Online
A1554,151,5595,246.66,24,4,0.026,1921.00,2024-11-29,Desktop,Learn Data Analytics
A1555,190,4808,199.94,16,6,0.032,1454.00,2024-11-03,Desktop,Data Analytics Online
A1556,138,3382,204.12,27,7,0.051,1386.00,2024-05-11,Tablet,Learn Data Analytics
A1557,100,4643,214.46,16,9,0.090,1179.00,2024-11-03,Tablet,Data Analytics Online
A1558,187,5400,210.00,14,7,0.037,1945.00,2024-11-15,Desktop,Analytics For Data
A1559,176,3400,191.50,29,3,0.017,1429.00,2024-11-28,Mobile,Data Analytics Online
A1562,155,3864,222.17,12,3,0.019,1407.00,2024-11-21,Mobile,Data Analytics Training
A1563,188,3838,240.99,15,3,0.016,1951.00,2024-10-11,Mobile,Data Analytics Course
A1564,81,5659,222.98,25,4,0.049,1654.00,2024-11-19,Tablet,Data Analytics Online
A1566,158,5214,222.28,21,3,0.019,1630.00,2024-03-11,Desktop,Data Analytics Course
A1568,128,5026,239.88,15,9,0.070,1745.00,2024-11-25,Mobile,Analytics For Data
A1569,148,3883,181.40,30,4,0.027,1966.00,2024-11-16,Desktop,Analytics For Data
A1570,92,4605,234.69,29,3,0.033,1264.00,2024-11-30,Mobile,Data Analytics Training
A1572,136,5454,247.70,13,6,0.044,1687.00,2024-11-06,Mobile,Data Analytics Online
A1573,132,4957,220.43,28,6,0.045,1218.00,2024-03-11,Mobile,Data Analytics Online
A1575,85,4747,224.35,26,5,0.059,1087.00,2024-01-11,Tablet,Data Analytics Course
A1576,129,5874,200.17,12,5,0.039,1405.00,2024-11-29,Tablet,Data Analytics Online
A1577,181,4730,243.35,16,4,0.022,1975.00,2024-11-20,Mobile,Data Analytics Online
A1578,85,5341,249.64,21,6,0.071,1388.00,2024-11-10,Mobile,Data Analytics Online
A1579,92,4327,188.60,14,7,0.076,1140.00,2024-11-22,Tablet,Data Analytics Training
A1581,146,4484,194.67,27,9,0.062,1234.00,2024-11-02,Tablet,Data Analytics Training
A1582,178,4311,205.46,18,4,0.022,1671.00,2024-11-18,Tablet,Analytics For Data
A1583,197,3009,233.44,22,9,0.046,1374.00,2024-11-18,Tablet,Analytics For Data
A1584,176,3110,205.23,23,5,0.028,1746.00,2024-11-19,Desktop,Data Analytics Online
A1585,98,3365,224.28,27,9,0.092,1108.00,2024-11-27,Desktop,Data Analytics Training
A1586,105,3274,187.89,24,4,0.038,1360.00,2024-11-09,Desktop,Learn Data Analytics
A1587,113,3231,210.13,19,10,0.088,1234.00,2024-11-15,Desktop,Data Analytics Online
A1589,88,5196,197.32,26,5,0.057,1438.00,2024-11-03,Desktop,Data Analytics Online
A1590,106,5321,239.76,11,7,0.066,1910.00,2024-11-24,Desktop,Data Analytics Training
A1591,148,5841,243.09,15,7,0.047,1535.00,2024-11-29,Mobile,Data Analytics Online
A1594,128,4729,243.45,25,9,0.070,1782.00,2024-11-23,Desktop,Learn Data Analytics
A1595,163,5371,215.89,29,7,0.043,1906.00,2024-11-05,Tablet,Data Analytics Course
A1596,183,5268,203.65,17,5,0.027,1731.00,2024-11-12,Mobile,Learn Data Analytics
A1597,196,5386,224.31,23,4,0.020,1423.00,2024-11-30,Tablet,Learn Data Analytics
A1598,121,4432,218.71,25,10,0.083,1568.00,2024-11-13,Desktop,Analytics For Data
A1599,174,3031,242.32,25,6,0.034,1381.00,2024-11-08,Mobile,Data Analytics Online
A1601,118,3274,222.62,10,3,0.025,1716.00,2024-09-11,Tablet,Analytics For Data
A1602,118,5889,193.01,17,10,0.085,1789.00,2024-11-10,Desktop,Data Analytics Online
A1603,149,5601,222.01,15,6,0.040,1514.00,2024-11-25,Desktop,Analytics For Data
A1604,127,4295,212.60,26,10,0.079,1713.00,2024-11-19,Tablet,Data Analytics Course
A1606,173,5233,229.38,28,7,0.040,1322.00,2024-11-16,Mobile,Learn Data Analytics
A1607,131,5727,218.65,28,4,0.031,1631.00,2024-11-07,Mobile,Data Analytics Training
A1608,105,4691,213.15,21,3,0.029,1276.00,2024-11-22,Desktop,Analytics For Data
A1609,104,3409,207.63,19,4,0.038,1195.00,2024-11-16,Mobile,Analytics For Data
A1610,139,4333,230.05,19,6,0.043,1407.00,2024-11-21,Desktop,Analytics For Data
A1613,109,4396,188.60,11,10,0.092,1451.00,2024-11-18,Mobile,Data Analytics Training
A1614,141,5000,223.70,29,10,0.071,1909.00,2024-11-12,Tablet,Data Analytics Online
A1615,182,3487,211.71,23,7,0.038,1027.00,2024-11-24,Mobile,Data Analytics Online
A1616,179,4236,245.01,23,7,0.039,1822.00,2024-11-07,Mobile,Learn Data Analytics
A1618,181,5678,226.89,22,10,0.055,1992.00,2024-11-02,Tablet,Data Analytics Training
A1619,85,5247,219.97,15,7,0.082,1612.00,2024-11-20,Desktop,Analytics For Data
A1621,172,5862,202.00,23,4,0.023,1469.00,2024-11-28,Desktop,Data Analytics Online
A1622,196,5040,197.08,11,9,0.046,1774.00,2024-11-22,Desktop,Data Analytics Course
A1624,135,5981,228.66,26,6,0.044,1515.00,2024-12-11,Desktop,Data Analytics Training
A1625,97,3495,230.83,16,6,0.062,1675.00,2024-11-23,Tablet,Analytics For Data
A1626,137,3702,215.41,25,9,0.066,1010.00,2024-10-11,Desktop,Learn Data Analytics
A1627,164,3405,217.58,10,3,0.018,1885.00,2024-11-30,Desktop,Data Analytics Online
A1628,178,3370,180.66,25,9,0.051,1830.00,2024-11-24,Desktop,Data Analytics Online
A1629,146,4455,227.13,16,5,0.034,1040.00,2024-11-24,Tablet,Data Analytics Online
A1630,149,4670,218.31,10,10,0.067,1623.00,2024-11-02,Mobile,Analytics For Data
A1631,193,4287,204.62,15,3,0.016,1800.00,2024-11-09,Tablet,Data Analytics Training
A1633,106,4740,229.13,19,3,0.028,1149.00,2024-11-11,Desktop,Data Analytics Online
A1634,131,5642,184.57,20,9,0.069,1827.00,2024-11-16,Mobile,Data Analytics Course
A1635,111,4161,185.58,10,7,0.063,1434.00,2024-11-04,Desktop,Data Analytics Training
A1636,144,4241,181.40,24,5,0.035,1693.00,2024-11-19,Mobile,Data Analytics Online
A1639,133,4780,198.66,22,4,0.030,1905.00,2024-09-11,Tablet,Data Analytics Online
A1641,82,3454,228.02,30,7,0.085,1463.00,2024-11-09,Desktop,Learn Data Analytics
A1642,135,3449,200.06,17,5,0.037,1950.00,2024-11-07,Mobile,Data Analytics Course
A1643,199,4287,235.58,12,10,0.050,1276.00,2024-11-10,Tablet,Data Analytics Course
A1644,123,5000,187.67,25,3,0.024,1351.00,2024-11-07,Tablet,Data Analytics Online
A1645,154,3437,211.63,28,4,0.026,1604.00,2024-11-14,Tablet,Data Analytics Training
A1646,88,3475,191.96,12,7,0.080,1204.00,2024-11-25,Desktop,Data Analytics Online
A1647,165,4889,180.19,21,4,0.024,1458.00,2024-11-19,Mobile,Analytics For Data
A1648,87,3639,220.76,22,3,0.034,1231.00,2024-11-14,Mobile,Analytics For Data
A1649,147,3959,181.18,27,9,0.061,1627.00,2024-11-26,Mobile,Analytics For Data
A1650,137,5400,180.04,10,10,0.073,1375.00,2024-11-29,Tablet,Analytics For Data
A1651,188,5528,245.03,13,10,0.053,1202.00,2024-11-29,Desktop,Analytics For Data
A1652,162,5456,193.69,10,6,0.037,1992.00,2024-11-29,Tablet,Data Analytics Online
A1653,102,4308,221.54,13,7,0.069,1096.00,2024-11-08,Mobile,Data Analytics Online
A1654,120,3245,196.09,15,9,0.075,1056.00,2024-11-22,Desktop,Data Analytics Training
A1655,125,3339,205.32,18,4,0.032,1985.00,2024-11-28,Desktop,Data Analytics Course
A1656,155,5977,187.28,16,7,0.045,1607.00,2024-11-10,Desktop,Data Analytics Online
A1657,137,4231,226.49,25,5,0.036,1078.00,2024-11-12,Tablet,Analytics For Data
A1658,91,4506,195.99,12,3,0.033,1179.00,2024-11-22,Tablet,Learn Data Analytics
A1659,87,4869,220.97,29,5,0.057,1480.00,2024-11-05,Desktop,Data Analytics Training
A1660,124,5716,217.84,28,8,0.065,1791.00,2024-11-24,Mobile,Data Analytics Training
A1661,128,3243,208.41,14,6,0.047,1514.00,2024-02-11,Mobile,Data Analytics Online
A1662,111,3911,239.24,28,9,0.081,1097.00,2024-11-01,Tablet,Data Analytics Online
A1663,89,3982,209.87,27,7,0.079,1920.00,2024-04-11,Desktop,Data Analytics Course
A1664,107,5299,207.36,19,8,0.075,1567.00,2024-11-26,Tablet,Data Analytics Training
A1665,181,4150,236.69,15,5,0.028,1251.00,2024-11-10,Mobile,Data Analytics Online
A1666,110,5925,188.18,29,9,0.082,1682.00,2024-11-23,Desktop,Data Analytics Training
A1667,85,4010,195.26,17,4,0.047,1853.00,2024-06-11,Mobile,Data Analytics Online
A1670,129,3787,229.81,10,6,0.047,1221.00,2024-11-13,Desktop,Data Analytics Online
A1671,112,4834,212.27,11,7,0.063,1524.00,2024-11-27,Mobile,Data Analytics Online
A1672,104,3031,188.47,13,6,0.058,1998.00,2024-11-05,Desktop,Data Analytics Training
A1673,132,3754,180.88,21,10,0.076,1601.00,2024-11-24,Mobile,Data Analytics Online
A1676,144,5026,231.82,14,4,0.028,1645.00,2024-11-10,Desktop,Data Analytics Course
A1677,179,5091,238.62,10,6,0.034,1259.00,2024-11-24,Mobile,Learn Data Analytics
A1679,116,4538,221.74,23,9,0.078,1639.00,2024-11-24,Desktop,Data Analytics Training
A1680,89,3509,192.14,27,9,0.101,1564.00,2024-11-12,Mobile,Data Analytics Online
A1681,96,3346,248.48,15,7,0.073,1118.00,2024-11-28,Desktop,Data Analytics Online
A1682,193,4706,213.41,24,8,0.041,1058.00,2024-11-09,Desktop,Data Analytics Course
A1683,122,3896,194.30,23,3,0.025,1355.00,2024-11-21,Mobile,Data Analytics Course
A1684,133,3332,201.59,14,7,0.053,1943.00,2024-11-15,Tablet,Data Analytics Course
A1685,177,5738,249.21,11,7,0.040,1435.00,2024-11-16,Mobile,Data Analytics Training
A1686,162,5346,223.12,25,5,0.031,1052.00,2024-11-28,Desktop,Data Analytics Course
A1687,182,5857,192.69,15,4,0.022,1384.00,2024-11-02,Desktop,Data Analytics Course
A1688,154,4836,233.80,26,10,0.065,1838.00,2024-11-30,Desktop,Data Analytics Course
A1689,104,5291,186.93,19,10,0.096,1805.00,2024-11-29,Tablet,Data Analytics Course
A1690,101,4840,230.68,21,9,0.089,1556.00,2024-11-22,Desktop,Data Analytics Training
A1691,173,4246,202.95,27,3,0.017,1276.00,2024-11-29,Tablet,Learn Data Analytics
A1692,186,5824,224.48,29,6,0.032,1882.00,2024-11-28,Mobile,Data Analytics Online
A1693,148,5952,186.32,14,4,0.027,1469.00,2024-10-11,Mobile,Data Analytics Course
A1694,181,3691,229.14,25,10,0.055,1375.00,2024-11-06,Mobile,Analytics For Data
A1695,110,4350,243.88,16,9,0.082,1157.00,2024-11-15,Tablet,Data Analytics Online
A1696,151,5656,191.95,18,7,0.046,1813.00,2024-02-11,Mobile,Data Analytics Online
A1697,90,4566,228.82,29,9,0.100,1697.00,2024-11-13,Desktop,Data Analytics Training
A1699,170,5053,217.41,16,9,0.053,1497.00,2024-11-17,Mobile,Data Analytics Training
A1700,112,5093,228.80,23,7,0.063,1188.00,2024-11-17,Desktop,Analytics For Data
A1701,188,5336,188.73,17,3,0.016,1601.00,2024-11-03,Tablet,Data Analytics Online
A1702,85,4963,186.21,14,6,0.071,1747.00,2024-05-11,Mobile,Data Analytics Course
A1703,94,4544,235.77,23,8,0.085,1342.00,2024-11-05,Tablet,Data Analytics Online
A1704,177,4901,217.54,20,10,0.056,1975.00,2024-11-13,Tablet,Data Analytics Online
A1705,150,5275,192.70,14,4,0.027,1170.00,2024-11-27,Tablet,Data Analytics Online
A1706,88,5225,202.97,22,6,0.068,1128.00,2024-11-13,Tablet,Data Analytics Online
A1707,128,4857,212.61,14,5,0.039,1538.00,2024-11-25,Desktop,Data Analytics Online
A1708,163,5310,242.76,26,9,0.055,1793.00,2024-11-12,Mobile,Learn Data Analytics
A1709,147,5014,193.08,12,8,0.054,1017.00,2024-11-11,Tablet,Data Analytics Online
A1710,191,5855,196.54,29,3,0.016,1085.00,2024-11-21,Desktop,Data Analytics Course
A1712,115,3952,229.18,25,4,0.035,1440.00,2024-11-20,Tablet,Data Analytics Online
